username,text,label
yummyfeels_,@GOAL_ID @BungTowel STY gak diperpanjang kemudian masuk pelatih lokal segerbong dengan apa yg lu inginkan. seorang pembenci tetaplah pembenci. susah menerima fakta STY berprestasi dengan mengangkat timnas. STY pencitraan? lu aja yg iri kalau STY dapat sorotan karena prestasi.,0
Awanglocs,@medioclubID @idn_abroad towel anjing,1
sunsmori,@GOAL_ID Towel anjing orang kaya gini jgn disorot terus biar pelan2 mati sendiri,1
indrahasto,Anjing bgt yah tuh Bung Towel... beneran ga seneng lho Indonesia ngegolin... Yg gini ini yg layak disuruh pindah negara...,1
bumblejii,@idextratime sama bung towel,0
indrawhan,@indosupporter kenapa gak ada yg jitak pala bung towel sambil bilang lu negara sendiri menang malah cemberut anjing ,1
Pent1Lp1nk,Tapi towel gak ngakuin kalo kita udah maju :( @BungTowel Apa towel asalnya dari nguyen ya?,0
jeremiatarulii,@indosupporter bung towel kek babi skrng anjing,1
abangnyacamarda,Bung towel anjing emang denial banget haha,1
TheIndoLad,@medioclubID Tapi ada akun Twitternya @BungTowel,0
InfosuporterID,@GOAL_ID Sedikit lebih beda lebih baik daripada sedikit lebih baik Awalnya Bung Towel mungkin makai prinsip itu lama lama bedanya jadi jauh malah lawan arah :),0
Richardtalkk,hahaha titipan lo ga di lirik STY TOWEL GOBLOK,1
faris11jr,@kamil5b Lawan bacotnya aja bung towel tp dikatain streamer ,0
enhayespa,Bung towel nih pernah ketemu coach Shin gak sih? Face to face? Utarakan opini 'berbeda' beliau langsung didepan orangnya jangan lewat media lol.,0
BudiBimCel,@BungTowel Klo pun iya anda posisikan diri anda sbagai komentator sudah selayaknya ketika timnas bermain manang dikandang lawan anda turut bahagia. Saya sangat suka anda laku dipopcast aja buat TV nasional jangan pernah kasih panggung lagi deh buat pengamat tarkam ini,0
ichwank94,@GOAL_ID Bung towel bukan penggemar timnas pastinya!..ga usah didengarlah,0
dwiiandre2603,@SiaranBolaLive Sederhana tapi bikin bung towel dan anda marah wkwk,0
Putraa1923Putra,@BolaBolaAja Bangsat itu towel. Suruh dipindah ke vietnam aja bangke,1
aulianatasyaa,@ainurohman Dulu suka banget analisa Bung Towel kalau timnas main di RCT* atau konten-konten gocek bung towel. Sekarang kok malah begini yaa.,0
xxxsbswan,@GOAL_ID Towel nih asli levelnya udah jatuh jadi pembenci sih pemain keturunan semua rekomendasi sty yang pilih sty yang nyari sampe pelosok Belanda sty tanpa sty federasi dan agen gabisa loby2 mereka goblok.,1
painstation_,Bisa2 nya timnas ngegolin dia gak teriak. Emang iri dengki towel anjing ni,1
septidermen,@BungTowel Towel (Tolol dan rewel),1
MArifPribadi1,@unmagnetism Towel anjing,1
AditiyaGilangF,@RakhaStevhira @medioclubID @idn_abroad Wkwk bung towel mnt d lempar anduk,0
chaniagogogogo,@BolaBolaAja Orang kaya towel ini kalo mati aja bisa gak sih?,1
silvaaa100,@SiaranBolaLive yahh bung sapto mah lawannya sekelas coach justin bukan sekelas bung towel ,0
MuhRifky_S,@Spidermegu @SonyAndrio @BungTowel TOLOL!!! Sebut saja Towel TOLOL mas kaya saya gini loh gausah takut ,1
anzphotoart,@detiksport Hore.... Pov bung towel,0
031_Jkt48,Bung towel iki mending cocok e dodolan tewel ae,0
abdee17,@medioclubID @t10nugroho @HadiGunawan1306 Towel kontol,1
tom_riyanto47,@medioclubID @t10nugroho @HadiGunawan1306 Mungkin inisial namanya lebih pas jika disingkat Tolol bukan Towel.,1
Gustek1312,@thejurgenholic @bliblidotcom Gimana kalo coach fakhri gen nanti u sahabatan sama bung towel &amp; akmal,0
dhimaz_rio2182,@ainurohman Towel sama bung binder enakan bung binder kalau soal komentator,0
Taufik_reza,@idextratime @_pauljoyce Bung towel coba pilih pool..lumayan pilih pemain lokal pride..wkwk,0
baaaatsy,@BungTowel fafifu wasweswos,0
SmittyW53608804,@GOAL_ID @BungTowel ini orang maunya apa si aslinya,0
YunicoArdian,@SiaranBolaLive bung towel makin mencak mencak tuh,0
lutfial_karoni,towel kontol,1
smokeeybbq,towel kontol liat tu anjing. pemain keturunan nih bos!,1
aniblogsan52394,@fnl_691 @joandreko @GOAL_ID makanya heran yang menghujat bung towel. saya yakin bung towel gak begini dulu aja gak begini tapi mungkinb biar beda kayak pandit lain sekaligus dapat atensi ya ambil jalan jadi villain,0
Bayu_Ramadhaan,@indosupporter towel mati sekalian,1
amoeba4669,Bung towel TOLOL PICEK BUDEK hatinya Cox... Asu .. ðŸ‡®ðŸ‡©,1
krenyitbarbar,@FCBarcelona Admin tim lu gajelas wel @BungTowel,0
urkindezz,@idextratime besok kalo si kontol towel ngoceh ngoceh kita gebukin aja dah,1
Senjasore2019,@GOAL_ID bung towel seakan tutup mata dengan capaian STY dan hanya menuntut TROFI. kalo pelatih timnas berpatokan hanya trofi dan trofi yg dikejar AFF noh liat timnas singapura menang 4x AFF tapi nihil dikancar ASIA. semakin kesini semakin ente ini org yg cuma pandai kritik.,0
wayyyyyz,sebenernya bung towel ini siapa ya?? serius nanya dan semua org tau dia trs kenapa dia kek benci gt ke sty???,0
HafizhArrr,@SiaranBolaLive Towel goblok! nek goblok ojo nemen lee,1
ArfinHS,Semakin ke sini bung towel ini opininya semakin ga bermutu. Padahal daridulu dia salah satu pundit yang sangat oke loh. Apa jangan2 dia sengaja didesain untuk jadi public enemy ya supaya supporter tidak terpecah belah dan semua satu suara madep mantep nderek STY ,0
Willy_andrianst,Si towel lemes anjing Sia mah orang bagdad towel,1
CreativeWC85,@BungTowel ngasih prediksi kok nanggung... tuh lihat 3-0 malah....,0
krath___,@BolaBolaAja towel nih anjing juga ya,1
Ko2Ranger,@Cincupaka @utdabout Anak didik Bung Towel sih elu ,0
drunkenmeifter,TOWEL KONTOL,1
Mahardikhaaa,wkwkwkw towel goblok,1
Unggul05627343,@LalajoPersib @davidasilva07 @teddy_tjahjono @glennsugita Harusnya bung towel nynyirin yg kayak gini nich,0
lingzz_18,@manamanama3465 @SiaranBolaLive BACOT SEPONG SONO TITIT TOWEL,1
subiewerk,Bacot towel kontlo,1
tudeebgs,@zaki_irfan26 @arrapradipta @bgshdr @gilabola_ina Bacot lu kacung towel anjing,1
Tumio95,@yopi_ah TOWEL !! KONTOL LA SAMA KAU,1
Vacadayneeded,@medioclubID @t10nugroho @HadiGunawan1306 Towel Tnya Tolol ,1
yourseamonster,@GOAL_ID Bung towel ni goblok namanya team ya pasti bantu sty kau liat aja yg kerjain patung terbesar di Bali ada ratusan seniman tapi hanya 1 seniman yg di sebut goblo,1
IvanFrontNew,@SiaranBolaLive Pekerjaan towel hanya Bacot gtu masih dikasih uang produksi bodoh bener,1
Erlz_,@wahyunulis bung towel itu buat check and balance kayak ganjar pranowo bwang,0
Juventini851,@juvegaristabah Teruntuk bung #Towel tolong kasih data pelatih Timnas Sepakbola Indonesia yg bisa berprestasi atau setidaknya enak ditonton dengan menggunakan pemain natiralisasi? Kalau ada datanya kan jd enak komparisasinya jgn hanya bisa kritik tp nihil solusi ya bung #Towel,0
vermak_lives,@ainurohman Bung towel https://t.co/R8npLig4k9,0
andreasbango,oalah towel goblok,1
hahakiiim,@BolaBolaAja Kalo Mamat ga respect mungkin tambahannya kayak kami gak pernah nonton liga 1 aja bung towel bung towel tolol amat .,1
_Sigit__,Skuad timnas yg dibenci @BungTowel GK: Paes Ernando Adi S CB: Idzes Amat Hubner Baggott Ridho Wahyu P RB: Walsh Asnawi Yasa LB: Nathan Arhan Shayne CM: Haye Jenner Marselino Kambuaya Klok FW: Ragnar Struick *Ole Romeny Egy Witan Sananta Hokky,0
Ombakbirulaut,@ainurohman Baca @BungTowel,0
rayzapratamaa,@medioclubID @GOAL_ID Masih banyak yang bisa dikritik dari STY yang masih relevan. Tapi bung towel malah memilih jalan lain,0
uchiha048,Ini timnas main udah jelek terus kalo kalah besok besok STY di kata katain sama towel gak mau gw belian lagi anjing #TimnasDay #TimnasIndonesia,1
enall_sullivan,@BolaBolaAja towel emang kontol,1
Sepak_Sudut,@ainurohman Iya bkl terus nyari kesalahan coba cek di belakang bung towel siapa yg pengen sty diganti ,0
Rasa_ayem,@SiaranBolaLive Bung towel siap menghadang,0
tbzueyon,Bung towel g bs titip pemain lg aaa kasian aaa,0
OHORGUNIDAS,@GOAL_ID Bung Towel sakit ya?,0
eloenmask,Towel anjing,1
anugrahrezkita,@indrahasto bung towel lebih cocok jadi pelatih vietnam,0
didiags_,Bung towel ini udah bukan pengamat sepakbola . Udah haters Timnas ,0
ale_dp100,STY!!!! Towel goblok dokem udah,1
aaenggie,@ainurohman Pansos aja itu @BungTowel. Lagi jaga relevansi dia sebagai komentator lawas yang ingin tetap diperhitungkan di kancah persepakbolaan moderen. Dia sedang coba sentuh pecinta bola lawas yg masih gandrung dengan timnas saat ini agar merek ngeh bahwa dia still alive.,0
L1LN4N,@id_fm Liat timnas apa liat bung towel?,0
dendynrrchm,@andikadiarsa Pengen kaya bung towel,0
AndiRizwar,@kickedreal @FaktaSepakbola Towel towel kontol.,1
DonnyRestuu,@gilabola_ina towel goblok,1
MulaFebianto,@SiaranBolaLive Lagian bung towel ini siapa sih.. sama aja kyk saya masyarakat biasa.. bukan anggota dewan pengawas timnas.. nenek2 juga bisa kl cuma koman komen komun komin mah... ga usah dianggap lah..,0
wahidalis_,@BolaBolaAja Towel Tolol,1
AdeKurn48034433,@rizalputrzs @indosupporter GOBLOK BANGET TOWEL ITU Nyari jawaban yg jauh dari harapan,1
yanited1878,@tomidepth @X_Tactico Penyepong towel enteng bgt ngmg offside trap. Blok goblok,1
ErwinChelsea2,@idextratime Gw borong mas Eti selusin Tapi dgn syarat bung towel jadikan doi anak patung Pancoran.,0
bakullontong,Jujur gada Bung Towel gada oposisi.,0
irhamirham,Ya Allah tolong pertemukan saya dengan Bung Towel,0
doktaviantoo,@BolaBolaAja Towel goblok. Dengki bgt sama negara sendiri,1
bodoamamat,@id_lgk tau nya pelatih liverpool bung towel,0
abidinalfatah08,Malaysia mau ga yaa kalo ngakuin Bung Towel jadi warga negaranya?,0
herdetya,@muktientut Bung towel nek buko yo langsung wareg masmuk soale kakean fafifu,0
CreativeWC85,@BungTowel untung jadi komentator......kalo jadi suporter pastinya anda menempaatkan diri jadi suporter Vietnam sambil maki2 STY,0
cimorygemoy,@MafiaWasit mendingan goreng juga si towel kontol 11 12 desainer espro ama towel kontol ini,1
Shiryu_Doragon_,@medioclubID Tapi bikin @BungTowel sakit ati...,0
Tuannmuda666,Towel bacot bgt ngentot,1
gopal34301793,@faz_hrp bung towel T nya tolol,1
rayyyyyyy___,@BungTowel towel nama panjangnya tolol well https://t.co/Ijk5gQ2Own,1
ridzaldj,@indrawhan @indosupporter Ngapaiin jitak ? Lempar aja botol beling yang nganggur. Manusia anjing ga usah dikasih panggung blok !! Goblok juga yang ngundang towel setan ini !,1
neveskieee,@Albana55005645 @madridista85362 @bllluueeskyy @BilaCookie @gilabola_ina minimal cari konteksnya dulu goblok dia terbang naik kelas ekonomi yg makanan jarang makanya makan mie instan lagian lu aneh lagi bahas prestasi tiba tiba nyambungnya ke hal ginian wkwkw dasar penyepong towel lo,1
Aryapratam19,Towel towel dasar kontol lu,1
aniblogsan52394,@Acc_everthing @kaegeusk @ainurohman makanya saya semenjak bung towel gini gak pernah kipasin . abaikan eh fans sepak bola indo malah suka menghujat ya jadi makanan empuk buat bung towel.. diundang ke podcast dia dapet duid walau di maki maki wkwk,0
sanzcorleone,@indosupporter towel bangsat ,1
papristant0,@Rifannn3 @afterthelaw @medioclubID @GOAL_ID Iya ketika timnas ngegolin bukannya selebrasi malah merengut gw ngebatin anjing nih orang timnas negeri sendiri ngegolin kok responnya gitu emang paling bener suporter timnas cancel culture si Towel ga usah respon komentar dia kalo perlu pas ketemu di jalan senggol aja.,1
a_onana48,@SerieA_Lawas Bangsat emang towel ini,1
nomor306,@SiaranBolaLive Ini salah satu contoh dahsyatnya fitnah yg terjadi saat ini tujuan bung towel mengkritisi timnas Indonesia itu baik namun banyak dipelintir org2/buzzer2 sehingga setiap yg dia katakan seolah-olah dia membenci timnas dan sty pdhl dia hnya memberikan kritikan.,0
DikoMasir,@NUgarislucu Suwe-suwe koyo Bung Towel min ketikanmu,0
roten_indonesia,@panditfootball Timnas kesayangan Bung Towel,0
IMPURlT1ES,Beef antara Bung Towel dan STY sejatinya adalah Bill Simmons-Doc Rivers dengan kearifan lokal,0
dimasb__,@GOAL_ID Berlindung dibalik kata2 pemarin keturunan sakjane wis sengit weki wel towel @BungTowel,0
narcobra,Semua kekerasan dilarang di Indonesia kecuali ngidak2 cengel e bung Towel,0
zathijaudaun,@SiaranBolaLive Bung Sapto dibandingin ama Nguyen Van Towel ma jauh..yang ini ulasannya tajam objektif dan cerdas..yang ono ma nyinyir aja bisanya.,0
ParkirSenayan,@SiaranBolaLive @GOAL_ID Semakin dikasih panggung semakin banyak dia dapat spotlight semakin banyak uang yg dia terima.. Bung @BungTowel yang terhormat lebih bijak jika anda bergerak dibidang yg anda geluti saat ini yaitu profesi anda sebagai pemuka agama,0
thffmm,Bung Towel itu cuma cari engagement aja sih cukup jgn kasi panggung,0
Raihan1266811,@utdfocusid @bliblidotcom Pasti itu bung towel,0
bram_ibr,@ainurohman Tapi jadi laku tiap ada berita timnas atau STY media nyari bung Towel terus buat ngejar engagement,0
afrezalf,@samuelbramantyo Bung towel mah hayang indonesia menang ngan embung sty nu ngalatih soalna isuna teu bisa nitip pemaen,0
prrasty,@homeofkhalifah @SiaranBolaLive Buzzer bung towel nyari engagement dg cara yg tidak tepat,0
bayuskak77,@ainurohman Jadi penasaran kenapa nguyen handuk segitu bencinya beda dengan kualitas bung towel beberapa tahun lalu :(,0
kuzharie,@BungTowel mending gausah pake sportcaster analis atau apalah semua yang kamu ucapkan juga tidak relevan. Kamu udah masuk pembenci bukan analis atau bahkan netral.,0
bhaskorojoyo,@ainurohman @arsenalskitchen Kita butuh org spt bung towel,0
AlehandroCrist3,@medioclubID @idn_abroad BACOT TOWEL KONTOL CUIHHHH,1
KingArtz21,@SiaranBolaLive Stau gw dulu towel kontol ini ada pemain titipan di timnas u19 kalo ga salah,1
rotten37_,bung towel adalah Samad Sedayu dan Pak Nyet Pogung,0
forgoodpleasure,Towel ini emang anjing,1
ilhmsptwn,Sehat om? @BungTowel,0
indrahasto,@anugrahrezkita Bung Towel aja mau ga?,0
Poacher__23,@indosupporter Awokwoakwkwwo towel tai bener kek bocil cari alasan bangsat ,1
txtdrrlly,ini sebanyak ini gada yg mukul towel anjing? seriusan??,1
akuuuuuupiii,@indosupporter emng tolol towel towel ini,1
izulxd,bacot towel kontol,1
yandislv,masih aja nga ngakuin bung towel anjing,1
Dendy_Santoso89,@CoachJustinL @ernandaputra Sebelas dua belas sama Bung Towel kolom komentar dimatikan Tidak terima Kritik..,0
eljaimcity,@The_RedsIndo Towel goblok!!,1
kaldeeeeee,wkwkwkw ribuan orang kegocek fake akun bung towel ,0
Asswirawan,@BolaBolaAja mending bung towel ganti nama aja jadi bung tolol,1
gladiator429114,@GOAL_ID @BungTowel seseklai ketemu sama seporter diruang terbuka omong gini...lempar kursi ente..,0
GelutMarikita,@rizalputrzs @indosupporter Mendadak jadi otak kardus si towel goblok anjing,1
gianyagia,@GOAL_ID bung towel lagi costplay jadi timothy ronald yang kuat bung,0
oktayudhi,@SuporterFC @BungTowel Sebelumnya memang gak bisa apa-apa sekarang STY bisa berbuat apapun karena banyak yang mendukung,0
wandasulaeman25,@GOAL_ID @shireenwisnu17 Jangan-jangan TW itu bukan Tengku Wisnu tapi Tommy Welly aka bung towel.. pake skin Wisnu!,0
crystalman_9,@JackNoLimit_ @idextratime Bung towel mah mati aja ga guna,1
punjungace,@ainurohman Dulu sangat menantikan penilaian Bung Towel dalam setiap pertandingan timnas karena paling objektif dan risetnya banyak. Saat ini Bung Towel sudah sangat jauh berbeda.,0
Andisantai1,@weexendgolfer @meongmeong1996 @BolaBolaAja OPOSISI KONTOL TOWEL KONTOL NYA KECIL,1
Masnyonnyon,@ainurohman Keren @BungTowel ...,0
gatra1928,Towel kontol buncit bgst,1
SportCornerID,Asisten Shin Tae-yong Sebut-sebut Bung Towel Ada Apa Nih? https://t.co/kk6YGvlQAc,0
theojames4real,@jebreeetmedia Sederhana tapi Bung Towel marah,0
mamiA5UUUUU,Wong tolol emangan towel ki,1
basudewadikara,@medioclubID @GOAL_ID Biarkan aja min stok seperti bung towel itu langka kok tinggal nanti kita buatkan meme aja.,0
Dikala_maghrib,@medioclubID @idn_abroad Seriusan kenapa sih bung towel dikasih panggung terus boleh ga dikasih panggungnya setelah bulan puasa aja? Nih orang dengkian mulu,0
mike_magribi,@MafiaWasit Kl indo msk pildun kita arak bung towel d GBK,0
tribunkaltim,Terjawab Siapa Bung Towel Ini Profil/Biodata Komentator Bola yang Viral Gara-gara Sering Kritik STY https://t.co/DRcUaANPGX lewat @tribunnews,0
Nanangkoy,FEDERASI PODO KOYO UTEKE BUNG TOWEL GOBLOK KALAU LAHIR ARI ARINYA MOTONGNYA SAMPE OTAK YA KAYA KAMU @PSSI @pt_lib BLOON ,1
yandislv,@indosupporter mampus kau bung towel anjing,1
Expeliarmuszzz,@The_RedsIndo Towel ini persi Justin sama2 kontol,1
Ravico27,@SiaranBolaLive @GOAL_ID TOWEL emang anjing,1
tuanmeneerr,@goodattitudeeee @nochillweng @punt0dewo pendapat bung towel pendapat bung ikor chindo enthusiast ,0
kickedreal,Tolong buang Towel dari bumi pertiwi. Sangat tidak bergairah dengan kemenangan Timnas. Ini jelas adanya kebencian pribadi terhadap sty. Bangsat. https://t.co/aFWnsxAUvK,1
Renvlznco,@medioclubID @t10nugroho @HadiGunawan1306 apasih ni orang kontol negara sendiri loh disupport. kena sumpah banyak orang lu towel,1
717_map,@t10nugroho Orang tolol macam towel ga layak jadi komentator,1
BagasBp,@BungTowel TOWEL GOBLOK ,1
Gennjurr,@SiaranBolaLive Dan bung towel di pihak oposisi sbg kritikus,0
Zaeelan_,@GOAL_ID Tapi yg gue heran media media besar malah kasih panggung dan kasih berita tentang statement bung towel ini loh. harusnya sudah lah diam kan saja tidak perlu di beritakan seperti ini. dia dengan statement dia masuk media malah makin makin.,0
WildanRizkyP1,@SuporterFC @BungTowel Bro mafia jersey timnas mau dibongkar partai sosmed ,0
yandislv,selamat sahur semua kecuali bung towel anjing,1
sleepypetter,@ainurohman mau nya apa anda? @BungTowel,0
mr_gantengbange,Towel ini goblok apa gimana sii anjing,1
enhayespa,Bung towel ini kalo gak jd oposisi gak makan. Gak ada engagement ,0
udinnn,MAMPUS TOWEL BACOT,1
Larabubkagmail1,Kritik bung towel itu jauh lebih berbobot dan objektivitasnya lebih terjamin dari kritikan yg keluar dari mulut sampah politikus dan pengamat yg cenderung bersifat hasutan dan rekayasa utk mendiskreditkan pihak lain. Lebih mirip dgn mamak2 yg lagi ngerumpi.,0
fithrul_a,@leirarartup @BungTowel @Bali_Football Agen titip menitip mulai hilang ,0
AaOj3k,@SiaranBolaLive @GOAL_ID Sponsorin min tinju bung towel vs @tirta_cipeng ,0
OtakUdangku,@SiaranBolaLive Lah dapet bung towel ya 127 T juga. Emang dia ada harganya? Di jual pun juga kagak ada yang mau,0
Diieipi,cangkeman asu bajingan towel ajg,1
Agusman61173267,@SiaranBolaLive Gebukin aja tuh towel bajingan,1
prasrzky,lu kontol towel anjing,1
idettia,@idextratime @bliblidotcom Bung Towel,0
Binthung_,@t10nugroho Sebut saja towel goblok kayak saya gitu lo mas nug,1
biarkuat,@MichelAdam7__ Tommy Welly ? bung towel,0
bengbengmaks,@gilabola_ina Anjing towel,1
gustiaditiaa,@GOAL_ID Alhamdulillah Goal Indonesia ngasih penghasilan buat Bung Towel. Goal juga dapat klik. Indahnya berbagi ya min.,0
ZoneVenomWar,Loh di sana ga ada bung towel Vietnam? ...,0
diediemanink,@The_RedsIndo Bung tolol bukan bung towel,1
ALEXANDERTAIP11,@SiaranBolaLive Ternyata bung towel naturalisasi berdarah Vietnam dari kucingnya,0
jenniferwelb,@BungTowel EH TOWEL KONTOL LU GANTI AJA WARGA NEGARA ANJING!!!! @BungTowel MANUSIA BANGSAT LU!! BUKAN ORANG INDONESIA. MATI AJA LU NAJIS !! JIJIK GUA,1
honda_ayam,@JukiHoki Sederhana tapi si towel kontol marah,1
MikelZakharia,@utdabout respect juga buat Ernanda dia tau dia salah minta maaf dan mengakui gak kaya towel udah salah gamau berubah tetep pada pendirian goblok nya itu,1
objectscure,@zenrs setuju masa ada yang bertingkah mendekati fasis dengan cara pengen matiin rezeki bung towel hanya karna dia dipersepsikan ngga suka sama junjungannya anak bola yang goblok banyak,1
JrSinaga3,Bung Towel ini udah keluar dari fitrah kritis yang sebenarnya.. Dia berubah menjadi PEMBENCI entah ia sadar atau tidak.. Boleh jadi ia sadar karena menikmati ketersudutannya dgn terus menyerang #STY @panditfootball @Box2BoxBola @idextratime,0
MuhaiminArdy,@GOAL_ID Lu aja lah jadi pelatih Timnas @BungTowel,0
ParkSooPeer,najis banget towel kontol anjg babi,1
